kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1997 : 1000 7384 0 0 0 0 0 0 0 
_1.ptx 1141 : 1024 8000 0 0 0 0 0 0 0 
_1.ptx 1964 : 1000 7224 0 0 0 0 0 0 0 
_1.ptx 1555 : 1000 6120 0 0 0 32 32 0 0 
_1.ptx 1133 : 1024 11520 0 0 0 0 0 0 0 
_1.ptx 1956 : 1000 9096 0 0 0 0 0 0 0 
_1.ptx 2365 : 69000 524392 0 0 0 0 0 0 0 
_1.ptx 1131 : 1024 22080 0 0 0 0 0 0 0 
_1.ptx 1954 : 1000 6320 0 0 0 0 0 0 0 
_1.ptx 1942 : 1000 0 0 0 0 0 0 0 0 
_1.ptx 1940 : 1000 8032 0 0 0 0 0 0 0 
_1.ptx 1531 : 1000 123680 0 0 0 0 0 0 0 
_1.ptx 1930 : 1000 7288 0 0 0 0 0 0 0 
_1.ptx 1521 : 1000 7032 0 0 0 0 0 0 0 
_1.ptx 1925 : 1000 11112 0 0 0 0 0 0 0 
_1.ptx 2339 : 1000 6768 0 0 0 0 0 0 0 
_1.ptx 1516 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 1922 : 1000 176432 0 0 0 0 0 0 0 
_1.ptx 1513 : 1000 250696 8064 0 0 63 32 0 0 
_1.ptx 1918 : 1000 7096 0 0 0 0 0 0 0 
_1.ptx 2327 : 69000 9254784 69024 0 0 69000 2208 0 0 
_1.ptx 1904 : 1000 54936 0 0 0 32 32 0 0 
_1.ptx 1902 : 1000 11544 0 0 0 0 0 0 0 
_1.ptx 1897 : 1000 14416 0 0 0 0 0 0 0 
_1.ptx 2311 : 69000 574768 0 0 0 0 0 0 0 
_1.ptx 1488 : 1024 7552 0 0 0 0 0 0 0 
_1.ptx 1894 : 1000 9744 0 0 0 63 32 0 0 
_1.ptx 1892 : 1000 12664 0 0 0 0 0 0 0 
_1.ptx 1483 : 1024 34624 0 0 0 0 0 0 0 
_1.ptx 1908 : 1000 7800 0 0 0 0 0 0 0 
_1.ptx 2317 : 69000 2020216 0 0 0 0 0 0 0 
_1.ptx 1709 : 1000 8064 0 0 0 0 0 0 0 
_1.ptx 1907 : 1000 150448 0 0 0 0 0 0 0 
_1.ptx 1498 : 1024 14176 0 0 0 0 0 0 0 
_1.ptx 1493 : 1024 6464 0 0 0 0 0 0 0 
_1.ptx 2316 : 69000 2334056 0 0 0 0 0 0 0 
_1.ptx 1657 : 501 3306 0 0 0 0 0 0 0 
_1.ptx 1656 : 501 4604 0 0 0 0 0 0 0 
_1.ptx 1654 : 501 3261 0 0 0 0 0 0 0 
_1.ptx 2472 : 1000 8256 0 0 0 0 0 0 0 
